TransactionDate,Location,ItemName,Cost,SaleQty,SaleBonusQty,SaleTotalQty,MRP,SaleAmount,SR_TotalQty,PerInvoiceAverageAmount
10-Oct-23,Surma,Clean 100ml,250,20,1,21,940,18800,0,27757.97
3-Oct-23,Surma,Clean 100ml,250,20,1,21,940,18800,0,24926.84
3-Oct-23,Surma,Clean 100ml,250,10,0,10,940,9400,0,24126.24
2-Oct-23,Surma,Clean 100ml,250,10,0,10,940,9400,0,17856.07
30-Sep-23,Surma,Clean 100ml,250,10,0,10,940,9400,0,16751.56
27-Sep-23,Surma,Clean 100ml,250,46,4,50,940,43240,0,45167.52
24-Sep-23,Surma,Clean 100ml,250,4,0,4,940,3760,0,2363.68
20-Sep-23,Surma,Clean 100ml,250,25,1,26,940,23500,0,30879.72
20-Sep-23,Surma,Clean 100ml,250,5,0,5,940,4700,0,17856.07
17-Sep-23,Surma,Clean 100ml,250,9,0,9,940,8460,0,34432.84
6-Sep-23,Surma,Clean 100ml,250,25,1,26,940,23500,0,30132.93
6-Sep-23,Surma,Clean 100ml,250,6,0,6,940,5640,0,10196.49
5-Sep-23,Surma,Clean 100ml,250,60,5,65,940,56400,0,53487.89
30-Aug-23,Surma,Clean 100ml,250,2,0,2,940,1880,0,17856.07
29-Aug-23,Surma,Clean 100ml,250,35,2,37,940,32900,0,30286.7
20-Aug-23,Surma,Clean 100ml,250,46,4,50,940,43240,0,45167.52
19-Aug-23,Surma,Clean 100ml,250,20,0,20,940,18800,0,24126.24
19-Aug-23,Surma,Clean 100ml,250,20,3,23,940,18800,0,24126.24
19-Aug-23,Surma,Clean 100ml,250,40,3,43,940,37600,0,38699.44
19-Aug-23,Surma,Clean 100ml,250,60,7,67,940,56400,0,38699.44
17-Aug-23,Surma,Clean 100ml,250,3,0,3,940,2820,0,27148.09
6-Aug-23,Surma,Clean 100ml,250,1,0,1,940,940,0,24126.24
3-Aug-23,Surma,Clean 100ml,250,25,1,26,940,23500,0,27148.09
31-Jul-23,Surma,Clean 100ml,250,5,0,5,940,4700,0,34432.84
31-Jul-23,Surma,Clean 100ml,250,7,0,7,940,6580,0,34432.84
25-Jul-23,Surma,Clean 100ml,250,20,1,21,940,18800,0,24126.24
23-Jul-23,Surma,Clean 100ml,250,40,2,42,940,37600,0,30286.7
19-Jul-23,Surma,Clean 100ml,250,9,0,9,940,8460,0,18714.42
18-Jul-23,Surma,Clean 100ml,250,6,0,6,940,5640,0,10196.49
14-Jul-23,Surma,Clean 100ml,250,10,0,10,940,9400,0,16751.56
9-Jul-23,Surma,Clean 100ml,250,30,2,32,940,28200,0,39602.24
6-Jul-23,Surma,Clean 100ml,250,1,0,1,940,940,0,30132.93
6-Jul-23,Surma,Clean 100ml,250,24,1,25,940,22560,0,30132.93
2-Jul-23,Surma,Clean 100ml,250,35,2,37,940,32900,0,27824.16
18-Jun-23,Surma,Clean 100ml,250,18,0,18,940,16920,0,53487.89
18-Jun-23,Surma,Clean 100ml,250,42,5,47,940,39480,0,53487.89
18-Jun-23,Surma,Clean 100ml,250,25,1,26,940,23500,0,30879.72
7-Jun-23,Surma,Clean 100ml,250,100,15,115,940,94000,0,24126.24
6-Jun-23,Surma,Clean 100ml,250,10,0,10,940,9400,0,16618.05
23-May-23,Surma,Clean 100ml,250,5,0,5,940,4700,0,39602.24
10-May-23,Surma,Clean 100ml,250,40,3,43,940,37600,0,24126.24
8-May-23,Surma,Clean 100ml,250,20,1,21,940,18800,0,27757.97
4-May-23,Surma,Clean 100ml,250,5,0,5,940,4700,0,38699.44
4-May-23,Surma,Clean 100ml,250,25,2,27,940,23500,0,38699.44
18-Apr-23,Surma,Clean 100ml,250,50,5,55,940,47000,0,68371.32
12-Apr-23,Surma,Clean 100ml,250,10,0,10,940,9400,0,15618.52
6-Apr-23,Surma,Clean 100ml,250,100,15,115,940,94000,0,30579.62
2-Apr-23,Surma,Clean 100ml,250,60,5,65,940,56400,0,53487.89
11-Mar-23,Surma,Clean 100ml,250,15,1,16,940,14100,0,22002.31
7-Mar-23,Surma,Clean 100ml,250,38,3,41,940,35720,0,27148.09
7-Mar-23,Surma,Clean 100ml,250,2,0,2,940,1880,0,27148.09
7-Mar-23,Surma,Clean 100ml,250,20,1,21,940,18800,0,20608.73
6-Mar-23,Surma,Clean 100ml,250,40,3,43,940,37600,0,30879.72
27-Feb-23,Surma,Clean 100ml,250,60,6,66,940,56400,0,24126.24
26-Feb-23,Surma,Clean 100ml,250,20,1,21,940,18800,0,45167.52
12-Feb-23,Surma,Clean 100ml,250,30,1,31,940,28200,0,38699.44
5-Feb-23,Surma,Clean 100ml,250,20,1,21,940,18800,0,38699.44
25-Jan-23,Surma,Clean 100ml,250,40,3,43,940,37600,0,53487.89
22-Jan-23,Surma,Clean 100ml,250,20,1,21,940,18800,0,27757.97
15-Jan-23,Surma,Clean 100ml,250,20,1,21,940,18800,0,22002.31
12-Jan-23,Surma,Clean 100ml,250,12,0,12,940,11280,0,38699.44
11-Jan-23,Surma,Clean 100ml,250,20,1,21,940,18800,0,24126.24
7-Jan-23,Surma,Clean 100ml,250,60,5,65,940,56400,0,24126.24
4-Jan-23,Surma,Clean 100ml,250,40,3,43,940,37600,0,30579.62
1-Jan-23,Surma,Clean 100ml,250,20,1,21,940,18800,0,16568.88
28-Dec-22,Surma,Clean 100ml,250,10,0,10,940,9400,0,24357.17
28-Dec-22,Surma,Clean 100ml,250,40,3,43,940,37600,0,53487.89
21-Dec-22,Surma,Clean 100ml,250,10,0,10,940,9400,0,30579.62
13-Dec-22,Surma,Clean 100ml,250,20,1,21,940,18800,0,30286.7
19-Nov-22,Surma,Clean 100ml,250,20,1,21,940,18800,0,16568.88
12-Nov-22,Surma,Clean 100ml,250,200,23,223,940,188000,0,24126.24
12-Nov-22,Surma,Clean 100ml,250,0,7,7,940,0,0,24126.24
27-Oct-22,Surma,Clean 100ml,250,40,0,40,940,37600,0,68371.32
27-Oct-22,Surma,Clean 100ml,250,4,0,4,940,3760,0,68371.32
27-Oct-22,Surma,Clean 100ml,250,1,5,6,940,940,0,68371.32
2-Oct-22,Surma,Clean 100ml,250,7,0,7,940,6580,0,15618.52
26-Sep-22,Surma,Clean 100ml,250,40,2,42,940,37600,0,24126.24
26-Sep-22,Surma,Clean 100ml,250,25,1,26,940,23500,0,27148.09
17-Sep-22,Surma,Clean 100ml,250,6,0,6,940,5640,0,24126.24
1-Sep-22,Surma,Clean 100ml,250,20,1,21,940,18800,0,24126.24
28-Aug-22,Surma,Clean 100ml,250,10,0,10,940,9400,0,24357.17
18-Aug-22,Surma,Clean 100ml,250,4,0,4,940,3760,0,24126.24
18-Aug-22,Surma,Clean 100ml,250,21,1,22,940,19740,0,24126.24
8-Aug-22,Surma,Clean 100ml,250,10,0,10,940,9400,0,24126.24
6-Aug-22,Surma,Clean 100ml,250,25,1,26,940,23500,0,24126.24
3-Aug-22,Surma,Clean 100ml,250,40,3,43,940,37600,0,39602.24
3-Aug-22,Surma,Clean 100ml,250,40,3,43,940,37600,0,68371.32
30-Jul-22,Surma,Clean 100ml,250,25,1,26,940,23500,0,27148.09
28-Jul-22,Surma,Clean 100ml,250,10,0,10,940,9400,0,20608.73
16-May-22,Surma,Clean 100ml,1,40,2,42,940,37600,0,16618.05
9-May-22,Surma,Clean 100ml,1,5,0,5,940,4700,0,24279.87
9-May-22,Surma,Clean 100ml,1,5,0,5,940,4700,0,24357.17
28-Apr-22,Surma,Clean 100ml,1,20,1,21,940,18800,0,24126.24
25-Apr-22,Surma,Clean 100ml,1,20,1,21,940,18800,0,16618.05
24-Apr-22,Surma,Clean 100ml,1,25,1,26,940,23500,0,34432.84
17-Oct-23,Tista,Clean 100ml,250,20,1,21,940,18800,0,29123.65
15-Oct-23,Tista,Clean 100ml,250,5,0,5,940,4700,0,9452.39
19-Sep-23,Tista,Clean 100ml,250,100,11,111,940,94000,0,87161.63
7-Sep-23,Tista,Clean 100ml,250,20,1,21,940,18800,0,21946.46
5-Sep-23,Tista,Clean 100ml,250,10,0,10,940,9400,0,12264.21
4-Sep-23,Tista,Clean 100ml,250,40,3,43,940,37600,0,72218.95
26-Aug-23,Tista,Clean 100ml,250,20,1,21,940,18800,0,31282.74
22-Aug-23,Tista,Clean 100ml,250,6,0,6,940,5640,0,9452.39
22-Aug-23,Tista,Clean 100ml,250,20,1,21,940,18800,0,39179.72
14-Aug-23,Tista,Clean 100ml,250,60,5,65,940,56400,0,51194.21
30-Jul-23,Tista,Clean 100ml,250,21,1,22,940,19740,0,39179.72
17-Jul-23,Tista,Clean 100ml,250,5,0,5,940,4700,0,15288.78
5-Jul-23,Tista,Clean 100ml,250,20,1,21,940,18800,0,31282.74
20-Jun-23,Tista,Clean 100ml,250,20,1,21,940,18800,0,72218.95
10-Jun-23,Tista,Clean 100ml,250,20,1,21,940,18800,0,29123.65
6-Jun-23,Tista,Clean 100ml,250,3,0,3,940,2820,0,9452.39
20-May-23,Tista,Clean 100ml,250,15,0,15,940,14100,0,9452.39
20-May-23,Tista,Clean 100ml,250,5,1,6,940,4700,0,9452.39
15-May-23,Tista,Clean 100ml,250,20,1,21,940,18800,0,39179.72
9-May-23,Tista,Clean 100ml,250,6,0,6,940,5640,0,14263.68
7-May-23,Tista,Clean 100ml,250,3,0,3,940,2820,0,15288.78
3-May-23,Tista,Clean 100ml,250,60,5,65,940,56400,0,51194.21
6-Apr-23,Tista,Clean 100ml,250,20,1,21,940,18800,0,39179.72
1-Apr-23,Tista,Viusid Vet 500ml,1296,2,0,2,2260,4520,0,9452.39
28-Mar-23,Tista,Clean 100ml,250,5,0,5,940,4700,0,14263.68
28-Mar-23,Tista,Clean 100ml,250,5,0,5,940,4700,0,14263.68
27-Mar-23,Tista,Clean 100ml,250,20,1,21,940,18800,0,29123.65
5-Mar-23,Tista,Viusid Vet 500ml,1347,2,0,2,2260,4520,0,75035.99
5-Mar-23,Tista,Clean 100ml,250,60,5,65,940,56400,0,89936.3
23-Feb-23,Tista,Clean 100ml,250,20,1,21,940,18800,0,39179.72
20-Feb-23,Tista,Clean 100ml,250,150,18,168,940,141000,0,73816.29
29-Jan-23,Tista,Clean 100ml,250,20,1,21,940,18800,0,12264.21
25-Jan-23,Tista,Clean 100ml,250,20,1,21,940,18800,0,39179.72
24-Jan-23,Tista,Clean 100ml,250,5,0,5,940,4700,0,14263.68
18-Jan-23,Tista,Clean 100ml,250,5,0,5,940,4700,0,14263.68
17-Jan-23,Tista,Clean 100ml,250,100,11,111,940,94000,0,75035.99
16-Jan-23,Tista,Clean 100ml,250,25,1,26,940,23500,0,31710.1
7-Jan-23,Tista,Clean 100ml,250,4,0,4,940,3760,0,9452.39
7-Jan-23,Tista,Clean 100ml,250,20,1,21,940,18800,0,28887.81
3-Jan-23,Tista,Clean 100ml,250,20,1,21,940,18800,0,29123.65
29-Dec-22,Tista,Clean 100ml,250,40,3,43,940,37600,0,21946.46
27-Dec-22,Tista,Clean 100ml,250,60,5,65,940,56400,0,51194.21
21-Dec-22,Tista,Clean 100ml,250,100,11,111,940,94000,0,87161.63
